"compound","full","fertilised"
"alkylC",-0.0378333091411215,-0.0647016814487556
"aromatic",-0.0922086931828014,-0.0884961372449333
"carbonylC",-0.0411091556391578,-0.0422705877050354
"di_O_alkylC",0.0719430924794507,0.0806468820314183
"meth_N_alkylC",-0.0860339452280806,-0.0855530166940437
"O_alkylC",0.110666680004038,0.127494945622986
"O_aromaticC",-0.0258343368629164,-0.0214553626106166
