"compound","full","fertilised"
"Aliphatic deriv.",0.015381069087755,0.0280717210506804
"Aromatic deriv.",-0.0272541969186015,-0.030112816935536
"Carbohydrate",0.400886810289377,0.379760235897105
"G-lignin",-0.552492735558278,-0.513913577910428
"N-compound",-0.0498111068666372,-0.0495270605896767
"Phenol",-0.0309950071810296,-0.0296832699629923
"S-lignin",-0.0456772470748458,-0.057008468081435
"Others",0.00924315717291052,0.0229958509771648
