"compound","full","fertilised"
"Aliphatic deriv.",0.0264368458127664,0.0168369767543223
"Aromatic deriv.",-0.0712253608522309,-0.0764629404867781
"Carbohydrate",0.178645186012054,0.166112011405628
"G-lignin",-0.234373293879726,-0.197206623650931
"N-compound",-0.0409963306709574,-0.042309293197464
"Phenol",-0.124428913136609,-0.120173175274139
"S-lignin",0.00140901859837875,-0.00184314817328885
"Others",-0.0673040847547634,-0.0765735440236153
